ID,gene.count.original,gene.count.UMI
ENSMUSG00000034573,1,1
ENSMUSG00000034575,32,15
ENSMUSG00000034574,92,51
ENSMUSG00000062081,1,1
ENSMUSG00000025666,11,6
ENSMUSG00000025665,9,5
ENSMUSG00000021179,37,18
ENSMUSG00000021178,119,61
ENSMUSG00000021171,187,87
ENSMUSG00000021177,20,8
ENSMUSG00000024048,2,2
ENSMUSG00000024049,1,1
ENSMUSG00000024042,6,4
ENSMUSG00000024044,266,134
ENSMUSG00000024045,42,24
ENSMUSG00000044442,28,18
ENSMUSG00000042298,138,76
ENSMUSG00000042293,1,1
ENSMUSG00000042292,192,99
ENSMUSG00000044197,2,1
ENSMUSG00000058761,24,11
ENSMUSG00000027533,16,8
ENSMUSG00000075012,9,4
ENSMUSG00000080928,2,1
ENSMUSG00000080921,4,2
ENSMUSG00000080925,4,2
ENSMUSG00000018672,2,1
ENSMUSG00000005553,14,6
ENSMUSG00000031095,111,51
ENSMUSG00000040631,30,15
ENSMUSG00000082209,41,25
ENSMUSG00000080695,2,1
ENSMUSG00000057421,93,47
ENSMUSG00000047368,59,36
ENSMUSG00000073925,3,1
ENSMUSG00000047363,2,1
ENSMUSG00000026374,75,49
ENSMUSG00000026377,144,71
ENSMUSG00000007021,110,52
ENSMUSG00000084338,11,4
ENSMUSG00000055239,40,22
ENSMUSG00000025825,16,9
ENSMUSG00000050600,48,26
ENSMUSG00000046109,2,1
ENSMUSG00000016256,15,9
ENSMUSG00000016257,16,8
ENSMUSG00000016252,248,133
ENSMUSG00000016253,71,31
ENSMUSG00000002718,207,103
ENSMUSG00000001467,120,61
